SGB ID	AverageAbundance	std	q1	MedianAbundance	q3	min	max	# Samples
14228	1.199511049	1.291260952	0.742981361	1.199511049	1.656040736	0.286451674	2.112570424	2
14229	0.419546257	0.217614153	0.266937044	0.43975321	0.474306159	0.181486915	0.83309727	7
14230	0.564630836	0.401982722	0.310013919	0.449258148	0.643643501	0.086720538	2.22976988	67
14231	0.256386214	0.014112811	0.251396582	0.256386214	0.261375847	0.24640695	0.266365479	2
14232	0.532040313	0.243339922	0.390316447	0.531329728	0.709717675	0.089852523	0.963882159	16
14233	0.353366501		0.353366501	0.353366501	0.353366501	0.353366501	0.353366501	1
14235	0.542150279	0.380966363	0.184234909	0.574988361	0.682649653	0.107212525	1.471021097	14
14236	0.339170896	0.099320694	0.304055727	0.339170896	0.374286064	0.268940559	0.409401232	2
14237	0.733272444	0.593217824	0.353162472	0.601003301	0.937044078	0.054599404	3.241729072	75
14238	1.058442308	0.871358002	0.296232231	0.959478236	1.5166423	0.085539043	3.315501671	49
14239	0.340594025		0.340594025	0.340594025	0.340594025	0.340594025	0.340594025	1
14240	1.126699403	0.668349872	0.663551575	1.05711796	1.368431567	0.165397838	2.896071578	43
14242	0.335702265	0.075032421	0.309174298	0.335702265	0.362230231	0.282646331	0.388758198	2
14243	0.16310264	0.073937173	0.113156606	0.144356567	0.216764392	0.057724306	0.356159448	40
14244	0.305170105	0.188341517	0.238581323	0.305170105	0.371758887	0.171992541	0.438347669	2
14245	0.327447422		0.327447422	0.327447422	0.327447422	0.327447422	0.327447422	1
14246	1.116026826	0.936593038	0.784891181	1.116026826	1.44716247	0.453755537	1.778298114	2
14247	0.323493993	0.221332051	0.164896332	0.26692087	0.429336844	0.056211785	0.963073372	35
14248	0.417760445	0.327916682	0.211707797	0.31042908	0.523607831	0.032097521	1.313950025	23
